Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Category,Total of cases
200501JC30572,1,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,9,-1,,
200501JC30614,2,2,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JC30625,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501JC30630,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501JC30649,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JC30653,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JC30670,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,-1,,
200501JC30681,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501JC30687,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501JC30700,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,4,1,,
200501JC30708,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501JC30736,2,2,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JC30748,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501JC30762,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501JC30771,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JC30784,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JC30811,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501JC30821,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
